date,lastSyncTime,steps,distance,runDistance,calories
2016-08-30,1472849901,12277,9246,433,523
2016-08-31,1472849902,11645,8758,697,495
2016-09-01,1472849901,16011,11113,278,790
2016-09-02,1472849957,21420,16047,113,946
2016-09-03,0,0,0,0,0
2016-09-04,0,0,0,0,0
2016-09-05,0,0,0,0,0
2016-09-06,0,0,0,0,0
2016-09-07,0,0,0,0,0
2016-09-08,0,0,0,0,0
2016-09-09,0,0,0,0,0
2016-09-10,0,0,0,0,0
2016-09-11,1473921275,12045,9011,393,553
2016-09-12,1473921274,15082,11275,700,679
2016-09-13,1473921274,21065,15026,1418,881
2016-09-14,1473921273,12903,9436,1760,548
2016-09-15,1474242051,28063,20747,584,1197
2016-09-16,1474242049,19197,14346,128,811
2016-09-17,1474242052,12004,8640,372,544
2016-09-18,1474242052,8219,5740,778,416
2016-09-19,1474350138,19781,14387,2499,833
2016-09-20,1474464746,27085,19665,2344,1067
2016-09-21,1474538246,30265,21630,2662,1311
2016-09-22,1474950789,14753,10554,1575,652
2016-09-23,1474950790,11071,7738,1723,575
2016-09-24,1474950791,1244,804,0,102
2016-09-25,1474950791,17736,12438,754,790
2016-09-26,1474950790,26795,20174,475,1124
2016-09-27,1475392099,13561,10107,738,622
2016-09-28,1475392096,16191,11283,310,806
2016-09-29,1475392090,18566,13080,1284,892
2016-09-30,1475392102,14748,10758,1452,646
2016-10-01,1475392097,7404,5374,145,358
2016-10-02,1475392100,145,94,0,7
2016-10-03,0,0,0,0,0
2016-10-04,0,0,0,0,0
2016-10-05,0,0,0,0,0
2016-10-06,0,0,0,0,0
2016-10-07,0,0,0,0,0
2016-10-08,0,0,0,0,0
2016-10-09,1476113929,10575,7929,311,403
2016-10-10,1476543130,15274,11166,4765,651
2016-10-11,1476543132,15986,11509,1616,721
2016-10-12,1476543133,23345,16446,1348,1060
2016-10-13,1476543131,23901,16759,2219,1062
2016-10-14,1476543131,15237,11413,846,605
2016-10-15,1477241719,4352,3278,41,231
2016-10-16,1477118455,5291,3518,234,333
2016-10-17,1477118451,8547,6132,957,377
2016-10-18,1477118453,17119,12351,169,800
2016-10-19,1477118456,25874,18919,310,1141
2016-10-20,1477118449,21677,15214,1035,990
2016-10-21,1477118450,22065,16156,1547,921
2016-10-22,1477241720,6318,4711,57,315
2016-10-23,1477308447,17824,13232,83,678
2016-10-24,1477512553,14187,10112,2132,343
2016-10-25,1477512554,18272,12947,793,439
2016-10-26,1477586807,15063,11494,296,413
2016-10-27,1477602344,12390,9318,523,328
2016-10-28,1477774329,14532,10579,1478,362
2016-10-29,1477858663,11376,7955,1894,281
2016-10-30,1478468686,14737,10940,173,360
2016-10-31,1478468685,13436,9982,1191,359
2016-11-01,1478468685,30190,22446,1763,753
2016-11-02,1478468684,16513,12126,1074,412
2016-11-03,1478468684,19682,14068,640,466
2016-11-04,1478468683,2207,1427,0,61
2016-11-05,1478468683,3443,2225,0,93
2016-11-06,1478468687,9662,7195,170,248
2016-11-07,1478727361,13192,9757,1242,340
2016-11-08,1478727360,18606,13315,1349,450
2016-11-09,1478727362,17586,13037,838,455
2016-11-10,1479751003,21344,15312,1995,509
2016-11-11,1480413222,16311,11851,1304,417
2016-11-12,1480413251,9921,7326,1359,267
2016-11-13,1480413259,6737,4961,266,187
2016-11-14,1480413278,13734,10222,385,356
2016-11-15,1480413362,11587,8409,1856,295
2016-11-16,1480413294,12303,8881,2142,298
2016-11-17,1480413311,15141,10504,948,353
2016-11-18,1480413326,11619,8564,79,293
2016-11-19,1480413350,17816,13346,198,436
2016-11-20,1480413340,4327,3069,415,108
2016-11-21,1480413418,14434,10803,515,373
2016-11-22,1480413464,12083,8972,282,313
2016-11-23,1481003828,23947,17500,6134,602
2016-11-24,1481185468,19426,13863,1949,467
2016-11-25,1481003690,8535,6323,353,226
2016-11-26,1481003731,12832,9357,1096,324
2016-11-27,1480413401,1240,802,0,39
2016-11-28,1480413416,12886,9291,2872,336
2016-11-29,1481403650,15865,11395,4338,394
2016-11-30,1481185629,10835,7151,177,232
2016-12-01,1481185552,10000,7076,2384,248
2016-12-02,1481403652,22077,16118,6087,565
2016-12-03,1481403652,10512,7575,2097,263
2016-12-04,1481403651,3333,2291,70,88
2016-12-05,1481185688,17520,12353,2353,416
2016-12-06,1481403654,14459,10492,944,350
2016-12-07,1481403653,20565,15305,853,506
2016-12-08,1481403655,24919,18342,336,606
2016-12-09,1481403655,13301,9340,510,304
2016-12-10,1481403654,11995,8053,391,270
